"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TCOF1",5.31146107114311e-05,0.505844799719965,0.426,0.32,1
"ABCC3",5.50508388789713e-05,-0.390417477784884,0.554,0.642,1
"AKR1B10",5.56985510610904e-05,-0.275542679565981,0.881,0.901,1
"RICTOR",5.6692892087529e-05,-0.4903126381538,0.307,0.406,1
"CHORDC1",5.81924899418063e-05,0.439903588215793,0.485,0.385,1
"MOB1A",6.17631924025184e-05,0.677053350542865,0.279,0.187,1
"CFAP97",6.83507787413636e-05,0.587807543369282,0.299,0.207,1
"HNRNPUL1",6.85137398914614e-05,0.325657116850466,0.628,0.554,1
"AC245041.2",6.97537237582113e-05,0.586730065519335,0.34,0.248,1
"ZFHX3",7.56943168978694e-05,0.384429388505558,0.499,0.385,1
"JMJD1C",7.60057629083875e-05,-0.350289570314817,0.467,0.557,1
"MARCKS",8.05634073899645e-05,0.479865323836312,0.483,0.376,1
"HNRNPA1",8.75297093401629e-05,0.375710563551201,0.676,0.579,1
"SF3B3",9.32767046940506e-05,0.61855950581662,0.253,0.166,1
"KANSL1",9.34747421726335e-05,0.531938360344163,0.451,0.361,1
"ZBTB38",9.36394839784452e-05,0.420695249318602,0.474,0.372,1
"TOP1",9.52565462538127e-05,0.433720480782098,0.574,0.486,1
"SNORC",9.56785026228592e-05,-0.760548679158784,0.222,0.305,1
"ANTKMT",9.66646025345149e-05,-0.497287951259451,0.249,0.344,1
"ZNF207",9.74942643991063e-05,0.463154679815543,0.468,0.368,1
"JUND",9.76884318705265e-05,-0.391488618968655,0.531,0.598,1
"RAP1B",9.99229877066399e-05,0.345133288078804,0.504,0.402,1
"PPP1R14B",0.000107284489986524,0.281410261007325,0.759,0.678,1
"ZNF106",0.000107959979690736,0.686847245201258,0.257,0.167,1
"H1FX",0.000108960392434233,0.421883082599619,0.565,0.461,1
"PPP1CC",0.000109558448101315,0.557759038921166,0.33,0.232,1
"MSH6",0.00011321066464911,-0.584837434778229,0.233,0.32,1
"NFE2L1",0.000116824231564864,0.516233283189587,0.406,0.307,1
"NFKBIA",0.000120950061335424,-0.675905874082226,0.199,0.28,1
"TTC28",0.000125144448642474,-0.677084856678989,0.234,0.316,1
"PPP3CA",0.000129269214036258,0.397168356037952,0.548,0.452,1
"CA12",0.000129630134267269,-0.481388470633535,0.342,0.437,1
"CD24",0.000130057678624741,0.393397307338495,0.366,0.259,1
"HNRNPD",0.000132114563024399,0.310637759341457,0.744,0.667,1
"CSRP1",0.00013634633437291,0.529130161851599,0.283,0.195,1
